STATION,NAME,DATE,ACMH,AWND,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,WDFM,WSFM
USW00024144,"HELENA AIRPORT ASOS, MT US",4/1/1938,,,0,,,,,39,5,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/2/1938,,,0,,,,,46,20,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/3/1938,,,0,,,,,54,23,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/4/1938,,,0,,,,,49,30,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/5/1938,,,0.04,,,,,37,30,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/6/1938,,,0.11,,,,,45,22,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/7/1938,,,0,,,,,52,20,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/8/1938,,,0,,,,,67,27,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/9/1938,,,0,,,,,66,33,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/10/1938,,,0,,,,,55,36,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/11/1938,,,0,,,,,66,26,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/12/1938,,,0,,,,,53,37,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/13/1938,,,0,,,,,51,39,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/14/1938,,,0.02,,,,,56,37,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/15/1938,,,0,,,,,65,32,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/16/1938,,,0,,,,,66,30,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/17/1938,,,0,,,,,65,45,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/18/1938,,,0,,,,,66,45,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/19/1938,,,0,,,,,57,33,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/20/1938,,,0,,,,,45,30,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/21/1938,,,0,,,,,61,20,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/22/1938,,,0,,,,,62,37,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/23/1938,,,0,,,,,60,35,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/24/1938,,,0,,,,,59,33,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/25/1938,,,0,,,,,45,36,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/26/1938,,,0.14,,,,,60,34,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/27/1938,,,0,,,,,60,35,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/28/1938,,,0,,,,,72,34,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/29/1938,,,0,,,,,76,37,,
USW00024144,"HELENA AIRPORT ASOS, MT US",4/30/1938,,,0,,,,,75,37,,
USW00024144,"HELENA AIRPORT ASOS, MT US",5/1/1938,,,0,,,,,58,43,,
USW00024144,"HELENA AIRPORT ASOS, MT US",5/2/1938,,,0.56,,,,,49,34,,
USW00024144,"HELENA AIRPORT ASOS, MT US",5/3/1938,,,0,,,,,56,40,,
USW00024144,"HELENA AIRPORT ASOS, MT US",5/4/1938,,,0,,,,,53,32,,
USW00024144,"HELENA AIRPORT ASOS, MT US",5/5/1938,,,0,,,,,49,34,,
